laptop_id,name,price(in Rs.),processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews,usage,range,ram_id,storage_id
191,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,47039.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,1603.0,184.0,2,2,8,512
192,acer Extensa Core i5 11th Gen,40990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.0,168.0,8.0,1,2,8,512
193,DELL Core i5 12th Gen,78190.0,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,13.3,4.5,8.0,0.0,1,2,16,512
194,DELL Ryzen 3 Quad Core 5425U,43490.0,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.4,9.0,1.0,2,3,8,512
195,Lenovo Intel Core i5 11th Gen,62990.0,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,15.6,4.5,14.0,1.0,1,2,16,512
196,HP Ryzen 5 Hexa Core 5500U,50499.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.2,225.0,18.0,2,2,16,512
197,ASUS Vivobook 15 Core i5 11th Gen,49990.0,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,157.0,16.0,1,2,8,512
199,Lenovo V15 G2 Core i3 11th Gen,37500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB HDD|256 GB SSD,15.6,4.4,53.0,3.0,1,2,8,1000
200,HP G8 Core i3 11th Gen,34690.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,32 bit Windows 11 Operating System,512 GB SSD,14.0,4.0,66.0,2.0,1,2,8,512
201,DELL Ryzen 7 Octa Core AMD R7,99990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,5.0,3.0,0.0,2,3,16,512
202,DELL Ryzen 5 Quad Core 3450U,36990.0,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,14.0,3.8,5.0,1.0,2,3,8,256
205,ASUS Vivobook K15 OLED Ryzen 5 Hexa Core AMD R5,56990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.5,758.0,80.0,2,2,16,512
206,APPLE 2022 MacBook Pro M2,121990.0,Apple M2 Processor,8 GB Unified Memory RAM,Mac OS Operating System,256 GB SSD,13.3,4.7,22.0,1.0,3,3,8,256
207,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7,87990.0,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.5,1224.0,158.0,2,3,8,512
208,Lenovo IdeaPad 1 Ryzen 5 Quad Core 3500U,42900.0,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.2,673.0,76.0,2,3,8,512
209,DELL Ryzen 7 Octa Core AMD R7,88490.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,5.0,7.0,1.0,2,3,16,512
210,ASUS Vivobook 14 (2022) Core i3 12th Gen,46990.0,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,14.0,4.2,12.0,2.0,1,3,8,512
211,ASUS Vivobook Pro 15 OLED Core i5 12th Gen,89990.0,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.4,80.0,12.0,1,2,16,512
212,MSI Core i7 12th Gen,140990.0,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,4.0,5.0,0.0,1,2,16,1000
213,APPLE MacBook Air M1,106490.0,Apple M1 Processor,16 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,13.3,4.7,719.0,83.0,3,3,16,256
214,HP Chromebook x360 Intel Celeron Dual Core,25990.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,256 GB SSD,14.0,4.2,24.0,4.0,4,3,4,256
215,ASUS Vivobook Pro 15 OLED Core i5 12th Gen,89990.0,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.4,80.0,12.0,1,2,16,512
216,ASUS Vivobook Pro 15 OLED Core i5 12th Gen,89990.0,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.4,80.0,12.0,1,2,16,512
217,MSI Core i7 12th Gen,140990.0,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1000 GB SSD,15.6,4.0,5.0,0.0,1,2,16,1000
218,APPLE MacBook Air M1,106490.0,Apple M1 Processor,16 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,13.3,4.7,719.0,83.0,3,3,16,256
219,Lenovo Intel Core i3 11th Gen,38500.0,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.3,453.0,38.0,1,2,8,512
